Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
BLUEPRINT	adult endothelial progenitor cell adult endothelial progenitor cell venous blood	adult.endothelial.progenitor.cell.adult.endothelial.progenitor.cell.venous.blood	0.720661289	0.8118212429	blood, endothelial
BLUEPRINT	alternatively activated macrophage alternatively activated macrophage cord blood	alternatively.activated.macrophage.alternatively.activated.macrophage.cord.blood	0.5672143037	0.88678182	blood, macrophage
BLUEPRINT	alternatively activated macrophage alternatively activated macrophage venous blood	alternatively.activated.macrophage.alternatively.activated.macrophage.venous.blood	0.6052283727	0.8858479481	blood, macrophage
BLUEPRINT	band form neutrophil band form neutrophil bone marrow	band.form.neutrophil.band.form.neutrophil.bone.marrow	0.6369169533	0.8841319435	blood, neutrophil
BLUEPRINT	CD14 positive  CD16 negative classical monocyte CD14 positive  CD16 negative classical monocyte cord blood	CD14.positive..CD16.negative.classical.monocyte.CD14.positive..CD16.negative.classical.monocyte.cord.blood	0.6585312488	0.8976952204	blood, monocyte
BLUEPRINT	CD14 positive  CD16 negative classical monocyte CD14 positive  CD16 negative classical monocyte venous blood	CD14.positive..CD16.negative.classical.monocyte.CD14.positive..CD16.negative.classical.monocyte.venous.blood	0.6893159327	0.8935390723	blood, monocyte
BLUEPRINT	CD3 negative  CD4 positive  CD8 positive  double positive thymocyte CD3 negative  CD4 positive  CD8 positive  double positive thymocyte thymus lymphoid tissue	CD3.negative..CD4.positive..CD8.positive..double.positive.thymocyte.CD3.negative..CD4.positive..CD8.positive..double.positive.thymocyte.thymus.lymphoid.tissue	0.5861341752	0.8966152822	blood, thymocyte
BLUEPRINT	CD3 positive  CD4 positive  CD8 positive  double positive thymocyte CD3 positive  CD4 positive  CD8 positive  double positive thymocyte thymus lymphoid tissue	CD3.positive..CD4.positive..CD8.positive..double.positive.thymocyte.CD3.positive..CD4.positive..CD8.positive..double.positive.thymocyte.thymus.lymphoid.tissue	0.5867211508	0.8964916134	blood, thymocyte
BLUEPRINT	CD34 negative  CD41 positive  CD42 positive megakaryocyte cell CD34 negative  CD41 positive  CD42 positive megakaryocyte cell cord blood	CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.cord.blood	0.5893377587	0.8682673963	blood, megakaryocyte
BLUEPRINT	CD38 negative naive B cell CD38 negative naive B cell cord blood	CD38.negative.naive.B.cell.CD38.negative.naive.B.cell.cord.blood	0.5374378358	0.8938828641	blood, B cell
BLUEPRINT	CD38 negative naive B cell CD38 negative naive B cell venous blood	CD38.negative.naive.B.cell.CD38.negative.naive.B.cell.venous.blood	0.5641081091	0.8901720273	blood, B cell
BLUEPRINT	CD4 positive  alpha beta T cell CD4 positive  alpha beta T cell venous blood	CD4.positive..alpha.beta.T.cell.CD4.positive..alpha.beta.T.cell.venous.blood	0.6705104616	0.8940875239	blood, T cell
BLUEPRINT	CD4 positive  alpha beta T cell Type 1 diabetes mellitus venous blood	CD4.positive..alpha.beta.T.cell.Type.1.diabetes.mellitus.venous.blood	0.6009046188	0.7285038434	blood, T cell
BLUEPRINT	CD4 positive  alpha beta thymocyte CD4 positive  alpha beta thymocyte thymus lymphoid tissue	CD4.positive..alpha.beta.thymocyte.CD4.positive..alpha.beta.thymocyte.thymus.lymphoid.tissue	0.5813445483	0.8936068309	blood, thymocyte
BLUEPRINT	CD8 positive  alpha beta T cell CD8 positive  alpha beta T cell cord blood	CD8.positive..alpha.beta.T.cell.CD8.positive..alpha.beta.T.cell.cord.blood	0.5259904094	0.8980438186	blood, T cell
BLUEPRINT	CD8 positive  alpha beta T cell CD8 positive  alpha beta T cell venous blood	CD8.positive..alpha.beta.T.cell.CD8.positive..alpha.beta.T.cell.venous.blood	0.6201632174	0.8916627311	blood, T cell
BLUEPRINT	CD8 positive  alpha beta thymocyte CD8 positive  alpha beta thymocyte thymus lymphoid tissue	CD8.positive..alpha.beta.thymocyte.CD8.positive..alpha.beta.thymocyte.thymus.lymphoid.tissue	0.5862328423	0.8960462131	blood, thymocyte
BLUEPRINT	central memory CD4 positive  alpha beta T cell central memory CD4 positive  alpha beta T cell venous blood	central.memory.CD4.positive..alpha.beta.T.cell.central.memory.CD4.positive..alpha.beta.T.cell.venous.blood	0.7419914501	0.8694478311	blood, T cell
BLUEPRINT	central memory CD8 positive  alpha beta T cell central memory CD8 positive  alpha beta T cell venous blood	central.memory.CD8.positive..alpha.beta.T.cell.central.memory.CD8.positive..alpha.beta.T.cell.venous.blood	0.7106351935	0.8649734438	blood, T cell
BLUEPRINT	class switched memory B cell class switched memory B cell venous blood	class.switched.memory.B.cell.class.switched.memory.B.cell.venous.blood	0.7532180303	0.8308684511	blood, B cell
BLUEPRINT	conventional dendritic cell conventional dendritic cell cord blood	conventional.dendritic.cell.conventional.dendritic.cell.cord.blood	0.5762814163	0.8943640808	blood, dendritic
BLUEPRINT	cytotoxic CD56 dim natural killer cell cytotoxic CD56 dim natural killer cell cord blood	cytotoxic.CD56.dim.natural.killer.cell.cytotoxic.CD56.dim.natural.killer.cell.cord.blood	0.645365921	0.8886392664	blood, NK cell
BLUEPRINT	cytotoxic CD56 dim natural killer cell cytotoxic CD56 dim natural killer cell venous blood	cytotoxic.CD56.dim.natural.killer.cell.cytotoxic.CD56.dim.natural.killer.cell.venous.blood	0.6296290027	0.8828520914	blood, NK cell
BLUEPRINT	effector memory CD4 positive  alpha beta T cell effector memory CD4 positive  alpha beta T cell venous blood	effector.memory.CD4.positive..alpha.beta.T.cell.effector.memory.CD4.positive..alpha.beta.T.cell.venous.blood	0.7645296886	0.8583667106	blood, T cell
BLUEPRINT	effector memory CD8 positive  alpha beta T cell  terminally differentiated effector memory CD8 positive  alpha beta T cell  terminally differentiated venous blood	effector.memory.CD8.positive..alpha.beta.T.cell..terminally.differentiated.effector.memory.CD8.positive..alpha.beta.T.cell..terminally.differentiated.venous.blood	0.7538857227	0.8421096225	blood, T cell
BLUEPRINT	effector memory CD8 positive  alpha beta T cell effector memory CD8 positive  alpha beta T cell venous blood	effector.memory.CD8.positive..alpha.beta.T.cell.effector.memory.CD8.positive..alpha.beta.T.cell.venous.blood	0.7660206899	0.8554897356	blood, T cell
BLUEPRINT	endothelial cell of umbilical vein  proliferating  endothelial cell of umbilical vein  proliferating  cord blood	endothelial.cell.of.umbilical.vein..proliferating..endothelial.cell.of.umbilical.vein..proliferating..cord.blood	0.644714196	0.869244439	blood, endothelial
BLUEPRINT	endothelial cell of umbilical vein  resting  endothelial cell of umbilical vein  resting  cord blood	endothelial.cell.of.umbilical.vein..resting..endothelial.cell.of.umbilical.vein..resting..cord.blood	0.6482794144	0.8619610363	blood, endothelial
BLUEPRINT	erythroblast erythroblast cord blood	erythroblast.erythroblast.cord.blood	0.6627715156	0.8636153119	blood, erythroblast
BLUEPRINT	germinal center B cell germinal center B cell tonsil	germinal.center.B.cell.germinal.center.B.cell.tonsil	0.7432595815	0.8613337283	blood, B cell
BLUEPRINT	hematopoietic multipotent progenitor cell hematopoietic multipotent progenitor cell bone marrow	hematopoietic.multipotent.progenitor.cell.hematopoietic.multipotent.progenitor.cell.bone.marrow	0.5440628716	0.9121090917	blood, hematopoietic
BLUEPRINT	immature conventional dendritic cell immature conventional dendritic cell   GM CSF IL4 T 6 days venous blood	immature.conventional.dendritic.cell.immature.conventional.dendritic.cell...GM.CSF_IL4_T.6_days.venous.blood	0.6738162306	0.8897797062	blood, dendritic
BLUEPRINT	inflammatory macrophage inflammatory macrophage cord blood	inflammatory.macrophage.inflammatory.macrophage.cord.blood	0.5716465775	0.8929282834	blood, macrophage
BLUEPRINT	inflammatory macrophage inflammatory macrophage venous blood	inflammatory.macrophage.inflammatory.macrophage.venous.blood	0.6266760742	0.8902589765	blood, macrophage
BLUEPRINT	macrophage macrophage   T 6days B glucan venous blood	macrophage.macrophage...T.6days.B.glucan.venous.blood	0.550382112	0.8835523688	blood, macrophage
BLUEPRINT	macrophage macrophage   T 6days untreated venous blood	macrophage.macrophage...T.6days.untreated.venous.blood	0.5240483255	0.8801583901	blood, macrophage
BLUEPRINT	macrophage macrophage cord blood	macrophage.macrophage.cord.blood	0.5535152051	0.8860967121	blood, macrophage
BLUEPRINT	macrophage macrophage venous blood	macrophage.macrophage.venous.blood	0.6183676132	0.8901998569	blood, macrophage
BLUEPRINT	mature conventional dendritic cell mature conventional dendritic cell   GM CSF IL4 T 6 days R848 T 24hrs venous blood	mature.conventional.dendritic.cell.mature.conventional.dendritic.cell...GM.CSF_IL4_T.6_days_R848_T.24hrs.venous.blood	0.6767548545	0.8899781559	blood, dendritic
BLUEPRINT	mature eosinophil mature eosinophil venous blood	mature.eosinophil.mature.eosinophil.venous.blood	0.665052697	0.8711841405	blood, eosinophil
BLUEPRINT	mature neutrophil mature neutrophil   G CSF Dex  Treatment  16 20 hrs  venous blood	mature.neutrophil.mature.neutrophil...G.CSF.Dex..Treatment..16.20.hrs..venous.blood	0.6342165687	0.8844678478	blood, neutrophil
